date,value
2022-02-03T17:26:33.220Z,0.5
2022-02-03T17:42:19.008Z,0.61
2022-02-03T18:03:12.642Z,0.68
2022-02-03T18:27:24.528Z,0.7
2022-02-03T18:44:26.830Z,0.68
2022-02-03T19:02:51.982Z,0.68
2022-02-03T19:23:02.174Z,0.62
2022-02-03T19:42:25.044Z,0.53
2022-02-03T20:03:02.263Z,0.42
2022-02-03T20:25:37.761Z,0.34
2022-02-03T20:42:05.598Z,0.28
2022-02-03T21:02:39.675Z,0.2
2022-02-03T21:23:59.808Z,0.15
2022-02-03T21:42:08.786Z,0.15
2022-02-03T22:03:05.471Z,0.15
2022-02-03T22:24:57.103Z,0.15
2022-02-03T22:42:12.382Z,0.15
2022-02-03T23:02:53.341Z,0.15
2022-02-03T23:23:32.160Z,0
2022-02-03T23:42:06.022Z,0
2022-02-04T07:02:40.885Z,0.01
